Distribution of neutrino fluxes in the BP00 standard solar model model.

astro-ph/0010346

Columns in the Table below represent:

1) Radius of the zone in units of one solar radius
2) Temperature in units of 10^6 deg (K)
3) Logarithm (to the base 10) of the electron density in units of
   cm^{-3}/N_A, where N_A is the Avogadro number
4) Mass of the zone with the given radius in units of one solar mass
5) X(^7Be): beryllium-7 mass fraction
   [For special purposes, it is useful to know the 7^Be mass fraction.]
6) Fraction of pp neutrinos produced in the zone
7) Fraction of boron 8 neutrinos produced in the zone
8) Fraction of nitrogen 13 neutrinos produced in the zone
9) Fraction of oxygen 15 neutrinos produced in the zone
10) Fraction of florine 17 neutrinos produced in the zone
11) Fraction of beryllium 7 neutrinos produced in the zone
12) Fraction of pep neutrinos produced in the zone
13) Fraction of hep neutrinos produced in the zone

The integrated fluxes given in Table7 of BP00 are listed below:


 5.95E+00 1.400E-02 9.3E-07 4.77E-01 5.05E-04 5.48E-02 4.80E-02 5.63E-04

The Table begins here.
0.02614 15.461 1.994 8.658E-05 1.564E-11 5.423E-04 5.109E-03 4.023E-03 4.597E-03 4.800E-03 2.376E-03 8.293E-04 2.389E-04
0.02655 15.454 1.994 9.066E-05 1.559E-11 5.680E-04 5.298E-03 4.171E-03 4.766E-03 4.978E-03 2.476E-03 8.676E-04 2.508E-04
0.02697 15.446 1.993 9.493E-05 1.553E-11 5.948E-04 5.493E-03 4.325E-03 4.941E-03 5.161E-03 2.581E-03 9.077E-04 2.633E-04
0.02740 15.438 1.993 9.940E-05 1.547E-11 6.229E-04 5.694E-03 4.482E-03 5.120E-03 5.350E-03 2.689E-03 9.496E-04 2.765E-04
0.02783 15.430 1.992 1.041E-04 1.541E-11 6.524E-04 5.899E-03 4.643E-03 5.304E-03 5.543E-03 2.802E-03 9.934E-04 2.903E-04
0.02827 15.422 1.992 1.090E-04 1.534E-11 6.832E-04 6.110E-03 4.806E-03 5.493E-03 5.742E-03 2.918E-03 1.039E-03 3.048E-04
0.02872 15.414 1.991 1.141E-04 1.528E-11 7.155E-04 6.326E-03 4.976E-03 5.686E-03 5.945E-03 3.040E-03 1.087E-03 3.200E-04
0.02918 15.405 1.990 1.195E-04 1.521E-11 7.493E-04 6.547E-03 5.151E-03 5.885E-03 6.153E-03 3.165E-03 1.137E-03 3.361E-04
0.02964 15.396 1.990 1.251E-04 1.514E-11 7.847E-04 6.774E-03 5.327E-03 6.088E-03 6.367E-03 3.295E-03 1.189E-03 3.529E-04
0.03011 15.387 1.989 1.310E-04 1.507E-11 8.217E-04 7.005E-03 5.510E-03 6.295E-03 6.585E-03 3.430E-03 1.244E-03 3.707E-04
