 Distribution of neutrino fluxes in the BS05(AGS,OP) standard solar model model.

astro-ph/0412440

The cumulative neutrino fluxes from Table 1 of BS05(AGS,OP) are given in the row below.
 
 6.058E+00 1.453E-02 8.254E-07 4.338E-01 4.508E-04 2.007E-02 1.445E-02 3.254E-04 

 
Columns in the Table below represent:

1) Radius of the zone in units of one solar radius
2) Temperature in units of 10^6 deg (K)
3) Logarithm (to the base 10) of the electron density in units of
  cm^{-3}/N_A, where N_A is the Avogadro number
4) Mass of the zone with the given radius in units of one solar mass 
5) X(^7Be): beryllium-7 mass fraction
  [For special purposes, it is useful to know the 7^Be mass fraction.]
6) Fraction of pp neutrinos produced in the zone 
7) Fraction of boron 8 neutrinos produced in the zone
8) Fraction of nitrogen 13 neutrinos produced in the zone
9) Fraction of oxygen 15 neutrinos produced in the zone
10) Fraction of florine 17 neutrinos produced in the zone
11) Fraction of beryllium 7 neutrinos produced in the zone
12) Fraction of pep neutrinos produced in the zone
13) Fraction of hep neutrinos produced in the zone
 
 0.05000 14.721 1.959 2.794e-04 1.009e-11 1.744e-03 7.280e-03 4.884e-03 6.778e-03 7.009e-03 5.149e-03 2.445e-03 9.242e-04 
 0.05041 14.710 1.958 2.832e-04 1.001e-11 1.766e-03 7.245e-03 4.873e-03 6.762e-03 6.984e-03 5.171e-03 2.471e-03 9.385e-04 
 0.05082 14.698 1.957 2.871e-04 9.929e-12 1.788e-03 7.209e-03 4.861e-03 6.746e-03 6.958e-03 5.193e-03 2.498e-03 9.530e-04 
 0.05123 14.687 1.956 2.910e-04 9.851e-12 1.810e-03 7.171e-03 4.848e-03 6.728e-03 6.931e-03 5.214e-03 2.525e-03 9.675e-04 
 0.05164 14.675 1.955 2.949e-04 9.772e-12 1.832e-03 7.130e-03 4.833e-03 6.708e-03 6.901e-03 5.233e-03 2.550e-03 9.819e-04 
 0.05205 14.663 1.954 2.988e-04 9.693e-12 1.854e-03 7.088e-03 4.818e-03 6.687e-03 6.870e-03 5.252e-03 2.577e-03 9.966e-04 
 0.05246 14.652 1.954 3.027e-04 9.615e-12 1.876e-03 7.045e-03 4.801e-03 6.664e-03 6.837e-03 5.270e-03 2.603e-03 1.011e-03 
 0.05287 14.640 1.953 3.067e-04 9.536e-12 1.897e-03 6.999e-03 4.784e-03 6.639e-03 6.802e-03 5.286e-03 2.628e-03 1.026e-03 
 0.05328 14.628 1.952 3.106e-04 9.457e-12 1.919e-03 6.952e-03 4.765e-03 6.613e-03 6.766e-03 5.301e-03 2.654e-03 1.041e-03 
 0.05369 14.616 1.951 3.145e-04 9.378e-12 1.941e-03 6.903e-03 4.745e-03 6.585e-03 6.729e-03 5.315e-03 2.679e-03 1.056e-03 
 0.05410 14.604 1.950 3.185e-04 9.299e-12 1.962e-03 6.853e-03 4.724e-03 6.556e-03 6.690e-03 5.328e-03 2.704e-03 1.071e-03 
 0.05451 14.592 1.949 3.225e-04 9.221e-12 1.984e-03 6.801e-03 4.702e-03 6.525e-03 6.649e-03 5.341e-03 2.729e-03 1.086e-03 
 0.05492 14.579 1.949 3.264e-04 9.142e-12 2.005e-03 6.748e-03 4.679e-03 6.494e-03 6.607e-03 5.352e-03 2.754e-03 1.101e-03 
