# Distribution of neutrino fluxes in the B16(GS98) standard solar model model.
#
# arXiv:1611.09867
#
# Columns in the Table below represent:
#
# 1) Radius of the zone in units of one solar radius
# 2) Temperature in units of 10^6 deg (K)
# 3) Logarithm (to the base 10) of the electron density in units of
#   cm^{-3}/N_A, where N_A is the Avogadro number
# 4) Mass of the zone with the given radius in units of one solar mass
# 5) Fraction of pp neutrinos produced in the zone
# 6) Fraction of pep neutrinos produced in the zone
# 7) Fraction of hep neutrinos produced in the zone
# 8) Fraction of beryllium 7 neutrinos produced in the zone
# 9) Fraction of boron 8 neutrinos produced in the zone
# 10) Fraction of nitrogen 13 neutrinos produced in the zone
# 11) Fraction of oxygen 15 neutrinos produced in the zone
# 12) Fraction of florine 17 neutrinos produced in the zone
#
# FORMAT: (f6.4,tr1,f6.3,tr1,f5.3,tr2,9(e14.8,tr2))

0.0330 15.250 1.980  1.63928649e-04  2.07374098e+00  3.10931610e+00  9.58885943e-01  8.12389970e+00  1.58404425e+01  1.02459594e+01  1.38817802e+01  1.48369861e+01  
0.0335 15.240 1.979  1.68494633e-04  2.13093824e+00  3.19031973e+00  9.88437361e-01  8.29202876e+00  1.60486110e+01  1.03916732e+01  1.40792086e+01  1.50376961e+01  
0.0340 15.229 1.978  1.72971559e-04  2.18693356e+00  3.26921741e+00  1.01763043e+00  8.45205074e+00  1.62354671e+01  1.05243357e+01  1.42589556e+01  1.52189844e+01  
0.0345 15.219 1.978  1.78030547e-04  2.25020052e+00  3.35866263e+00  1.05042647e+00  8.63664706e+00  1.64636136e+01  1.06844552e+01  1.44759029e+01  1.54393992e+01  
0.0350 15.208 1.977  1.82554664e-04  2.30662712e+00  3.43756428e+00  1.08024538e+00  8.79130459e+00  1.66289591e+01  1.08045598e+01  1.46386379e+01  1.56014227e+01  
0.0355 15.197 1.976  1.86841309e-04  2.35995936e+00  3.51154678e+00  1.10882310e+00  8.93084776e+00  1.67605114e+01  1.09033580e+01  1.47725055e+01  1.57321495e+01  
0.0360 15.186 1.975  1.91851650e-04  2.42233800e+00  3.59866861e+00  1.14186678e+00  9.10114545e+00  1.69442584e+01  1.10368370e+01  1.49533622e+01  1.59123712e+01  
0.0365 15.175 1.975  1.97269939e-04  2.48975342e+00  3.69290771e+00  1.17752753e+00  9.28642063e+00  1.71498510e+01  1.11853795e+01  1.51546279e+01  1.61137021e+01  
0.0370 15.164 1.974  2.01402698e-04  2.54084145e+00  3.76258191e+00  1.20569524e+00  9.40709372e+00  1.72309560e+01  1.12533837e+01  1.52467764e+01  1.61984458e+01  
0.0375 15.153 1.973  2.07048492e-04  2.61090954e+00  3.86002218e+00  1.24309478e+00  9.59437043e+00  1.74284624e+01  1.13982284e+01  1.54430339e+01  1.63932480e+01  
0.0380 15.141 1.972  2.11150400e-04  2.66136922e+00  3.92811349e+00  1.27140602e+00  9.70589600e+00  1.74833724e+01  1.14505237e+01  1.55138996e+01  1.64544034e+01  
0.0385 15.130 1.971  2.17094595e-04  2.73493162e+00  4.02995059e+00  1.31098945e+00  9.89792451e+00  1.76777042e+01  1.15949405e+01  1.57095807e+01  1.66473778e+01  
0.0390 15.118 1.971  2.21038950e-04  2.78315321e+00  4.09407624e+00  1.33867510e+00  9.99444169e+00  1.76967443e+01  1.16251020e+01  1.57504603e+01  1.66757861e+01  
